tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,name,retweet_count,favorite_count,dog_breed_final,dog_stages,rating_num_new,rating_den_new
892420643555336193,,,2017-08-01 16:23:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. / https://t.co/MgUWQdJU,,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,Phineas,8853,39467,,,13,10
892177421306343426,,,2017-08-01 00:17:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. / https://t.co/XxuqeIV",,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly,6514,33819,Chihuahua,,13,10
891815181378084864,,,2017-07-31 00:18:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. / https://t.co/wUnZnhtVJB,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie,4328,25461,Chihuahua,,12,10
891689557279858688,,,2017-07-30 15:58:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. / happens to the best of us https://t.co/tDdaqLQ,,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla,8964,42908,Labrador_retriever,,13,10
891327558926688256,,,2017-07-29 16:00:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. / #BarkWeek https://t.co/AtUZnff",,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",Franklin,9774,41048,basset,,12,10
891087950875897856,,,2017-07-29 00:08:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. / (IG: tucker_marlo) #BarkWeek https://t.co/kQfDDRmh,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,,3261,20562,Chesapeake_Bay_retriever,,13,10
890971913173991426,,,2017-07-28 16:27:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. / help Jax enjoy more things by clicking below

https://t.co/ZrhWfAsH https://t.co/tVJBRMnhxl",,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",Jax,2158,12041,Appenzeller,,13,10
890729181411237888,,,2017-07-28 00:22:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. / https://t.co/vnONBcwxq,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",,16716,56848,Pomeranian,,13,10
890609185150312448,,,2017-07-27 16:25:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. / #BarkWeek https://t.co/TwLuAGHb,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey,4429,28226,Irish_terrier,,13,10
890240255349198849,,,2017-07-26 15:59:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. / so elegant much sophisticate https://t.co/tbfwzSA,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,7711,32467,Pembroke,doggo,14,10
890006608113172480,,,2017-07-26 00:31:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. / would risk a petting #BarkWeek https://t.co/dVPWBMme,,,,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",Koda,7624,31166,Samoyed,,13,10
889880896479866881,,,2017-07-25 16:11:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Bruno. He is a service shark. Only gets out of the water to assist you. / terrifyingly good boy https://t.co/uXPQMlg,,,,https://twitter.com/dog_rates/status/889880896479866881/photo/1,Bruno,5156,28268,French_bulldog,,13,10
889665388333682689,,,2017-07-25 01:55:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. / https://t.co/BxvuXkUCm,,,,https://twitter.com/dog_rates/status/889665388333682689/photo/1,,8538,38818,Pembroke,,13,10
889638837579907072,,,2017-07-25 00:10:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ted. He does his best. Sometimes that's not enough. But it's ok. / would assist https://t.co/fdEDcrKSR,,,,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",Ted,4735,27672,French_bulldog,,12,10
889531135344209921,,,2017-07-24 17:02:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. / puppared puppo #BarkWeek https://t.co/yohisq,,,,https://twitter.com/dog_rates/status/889531135344209921/photo/1,Stuart,2321,15359,golden_retriever,,13,10
